Key,English,Danish
internal.locale,en_US,da_DK
internal.language,English,Dansk
internal.version,1,1
COMMAND.API.BADUSAGE,&cInvalid command usage!,&cUgyldig kommando!
COMMAND.API.USAGE,USAGE: %s,USAGE: %s
COMMAND.API.REQUIREMENTS.INVALIDPLAYER,&cThis command cannot be used by players.,&cDenne kommando kan ikke bruges af spillere.
COMMAND.API.REQUIREMENTS.INVALIDCONSOLE,&cThis command cannot be used by the console.,&cDenne kommado kan ikke bruges af konsollen.
COMMAND.API.REQUIREMENTS.INVALIDREMOTE,&cThis command cannot be used by RCON.,&cDenne kommando kan ikke bruges eksternt.
COMMAND.API.REQUIREMENTS.INVALIDBLOCK,&cThis command cannot be used by command blocks.,&cDenne kommando kan ikke bruges af kommandoblokke.
COMMAND.API.REQUIREMENTS.NOPERMISSION,&cYou do not have the permission required for this command: &6%s,&cDu har ikke den nødvendige tilladelse til denne kommando: &6%s
COMMAND.ROOT.DESCRIPTION,Show information about the plugin and authors.,Vis information om plugin og udgiver.
COMMAND.ROOT.DETAILS,&7Running &6%s &cv%s&7.<br>&7Use &6%s &7to view available commands.,&7Kører &6%s &cv%s&7.<br>&7Brug &6%s &7for at se tilgængelige kommandoer.
COMMAND.BALANCE.DESCRIPTION,"Show wallet address, eth, enj, and token balances.","Vis tegnebog adresse, ETH, ENJ, og token saldo."
COMMAND.BALANCE.WALLETADDRESS,&6Wallet Address: &d%s,&6Tegnebog adresse: &d%s
COMMAND.BALANCE.IDENTITYID,&6Identity ID: &d%s,&6Identitet ID: &d%s
COMMAND.BALANCE.ENJBALANCE,&a[ %s ENJ ],&a[ %s ENJ ]
COMMAND.BALANCE.ETHBALANCE,&a[ %s ETH ],&a[ %s ETH ]
COMMAND.BALANCE.TOKENDISPLAY,&6%s. &5%s &a(qty. %s),&6%s. &5%s &a(qty. %s)
COMMAND.BALANCE.NOTOKENS,&l&6No tokens found in your wallet.,&l&6Der kunne ikke findes nogle tokens i din tegnebog.
COMMAND.BALANCE.TOKENCOUNT,&l&6Found %s tokens in your wallet.,&l&6Fandt %s tokens i din tegnebog.
COMMAND.HELP.DESCRIPTION,Show list of commands with their usage.,Vis liste over kommandoer og deres brug.
COMMAND.LINK.DESCRIPTION,Show linking code or linked address.,Vis linkingskode eller tilknyttet adresse.
COMMAND.LINK.NULLWALLET,&cUnable to show your wallet address.,&cDin tegnebog adresse kunne ikke vises.
COMMAND.LINK.SHOWWALLET,&aYour account is linked to the wallet address: &6%s,&aDin konto er knyttet til tegnebogens adresse: &6%s
COMMAND.LINK.NULLCODE,&cUnable to show your identity linking code.,&cKan ikke vise din identitets linkingskode.
COMMAND.LINK.INSTRUCTIONS.1,&6To link your account follow the steps below:,&6Følg nedenstående trin for at linke din konto:
COMMAND.LINK.INSTRUCTIONS.2,&7Download the Enjin Wallet app for Android or iOS,&7Download appen Enjin Wallet til Android eller iOS
COMMAND.LINK.INSTRUCTIONS.3,&7Browse to the Linked Apps section,&7Gå til sektionen Linked apps
COMMAND.LINK.INSTRUCTIONS.4,&7Click the 'LINK APP' button,&7Klik på knappen 'LINK APP'
COMMAND.LINK.INSTRUCTIONS.5,&7Select the wallet you wish to link,"&7Vælg den tegnebog, du vil linke"
COMMAND.LINK.INSTRUCTIONS.6,&7Enter the identity linking code shown below,&7Indtast identitets linkingskode vist nedenfor
COMMAND.LINK.INSTRUCTIONS.7,&aLink Code: &6%s,&aLink kode: &6%s
COMMAND.DEVSEND.DESCRIPTION,Send a token from the developer wallet to a player.,Send et token fra udviklerens tegnebog til en spiller
COMMAND.DEVSEND.INVALIDAMOUNT,&cA valid amount to send must be specified.,"&cDer skal angives et gyldigt antal, der skal sendes."
