Key,English,German
internal.locale,en_US,de_DE
internal.language,English,Deutsch
internal.version,1,1
COMMAND.API.BADUSAGE,&cInvalid command usage!,&cUngültiger Befehl!
COMMAND.API.USAGE,USAGE: %s,Anwendung: %s
COMMAND.API.REQUIREMENTS.INVALIDPLAYER,&cThis command cannot be used by players.,&cDieser Befehl kann von Spielern nicht benutzt werden.
COMMAND.API.REQUIREMENTS.INVALIDCONSOLE,&cThis command cannot be used by the console.,&cDieser Befehl kann von dieser Konsole nicht benutzt werden.
COMMAND.API.REQUIREMENTS.INVALIDREMOTE,&cThis command cannot be used by RCON.,&cDieser Befehl kann nicht von RCON benutzt werden.
COMMAND.API.REQUIREMENTS.INVALIDBLOCK,&cThis command cannot be used by command blocks.,&cDieser Befehl kann nicht von Befehlsblöcken benutzt werden.
COMMAND.API.REQUIREMENTS.NOPERMISSION,&cYou do not have the permission required for this command: &6%s,"&cDu hast nicht die benötigte Erlaubnis, diesen Befehl auszuführen: &6%s"
COMMAND.ROOT.DESCRIPTION,Show information about the plugin and authors.,Zeige Informationen über das Plugin und Autoren.
COMMAND.ROOT.DETAILS,&7Running &6%s &cv%s&7.<br>&7Use &6%s &7to view available commands.,&7Ausführen von &6%s &cv%s&7.<br>&7Benutze &6%s &7um verfügbare Befehle anzuzeigen.
COMMAND.BALANCE.DESCRIPTION,"Show wallet address, eth, enj, and token balances.","Zeige Wallet Address, ETH, ENJ, und Token Guthaben."
COMMAND.BALANCE.WALLETADDRESS,&6Wallet Address: &d%s,&6Wallet Address: &d%s
COMMAND.BALANCE.IDENTITYID,&6Identity ID: &d%s,&6Identität ID: &d%s
COMMAND.BALANCE.ENJBALANCE,&a[ %s ENJ ],&a[ %s ENJ ]
COMMAND.BALANCE.ETHBALANCE,&a[ %s ETH ],&a[ %s ETH ]
COMMAND.BALANCE.TOKENDISPLAY,&6%s. &5%s &a(qty. %s),&6%s. &5%s &a(qty. %s)
COMMAND.BALANCE.NOTOKENS,&l&6No tokens found in your wallet.,&l&6Keine Tokens in deinem Wallet gefunden.
COMMAND.BALANCE.TOKENCOUNT,&l&6Found %s tokens in your wallet.,&l&6 %s Tokens in deinem Wallet gefunden.
COMMAND.HELP.DESCRIPTION,Show list of commands with their usage.,Zeige Liste von Befehlen mit deren Anwendung.
COMMAND.LINK.DESCRIPTION,Show linking code or linked address.,Zeige Link Code oder verbundene Wallet Address.
COMMAND.LINK.NULLWALLET,&cUnable to show your wallet address.,&cDeine Wallet Address kann nicht angezeigt werden.
COMMAND.LINK.SHOWWALLET,&aYour account is linked to the wallet address: &6%s,&aDein Account ist jetzt mit dieser Wallet Address verbunden: &6%s
COMMAND.LINK.NULLCODE,&cUnable to show your identity linking code.,&cDein Link Code kann nicht angezeigt werden.
COMMAND.LINK.INSTRUCTIONS.1,&6To link your account follow the steps below:,"&6Um deinen Account zu verbinden, folge diesen Schritten:"
COMMAND.LINK.INSTRUCTIONS.2,&7Download the Enjin Wallet app for Android or iOS,&7Lade die Enjin Wallet App für Android oder iOS herunter
COMMAND.LINK.INSTRUCTIONS.3,&7Browse to the Linked Apps section,&7Finde den 'Verlinkte Apps' Bereich
COMMAND.LINK.INSTRUCTIONS.4,&7Click the 'LINK APP' button,&7Drücke auf 'Verlinke App'
COMMAND.LINK.INSTRUCTIONS.5,&7Select the wallet you wish to link,"&7Wähle das Wallet, das du verbinden möchtest"
COMMAND.LINK.INSTRUCTIONS.6,&7Enter the identity linking code shown below,&7Gebe dazu den unten angezeigten Link Code ein
COMMAND.LINK.INSTRUCTIONS.7,&aLink Code: &6%s,&aLink Code: &6%s
COMMAND.DEVSEND.DESCRIPTION,Send a token from the developer wallet to a player.,Sende einen Token vom Entwickler Wallet zum Spieler
COMMAND.DEVSEND.INVALIDAMOUNT,&cA valid amount to send must be specified.,&cA gültige zu sendende Menge muss angegeben werden 
COMMAND.DEVSEND.INVALIDTOKEN,&cA valid id for the token must be specified.,&cA gültige ID für den Token muss angeben werden
COMMAND.SEND.DESCRIPTION,Send the held token to another player.,Sende den Token an einen anderen Spieler.
COMMAND.SEND.SUBMITTED,&aSend request submitted successfully. Please confirm the request in your wallet app.,&aSendeanfrage erfolgreich übermittelt. Bitte bestätige die Anfrage in deiner Wallet App.
COMMAND.SEND.MUSTHOLDITEM,&cYou must hold the tokenized item you wish to send.,"&cDas Item muss dir gehören, um es senden zu können."
COMMAND.SEND.ITEMNOTTOKEN,&cThe held item is not associated with a token.,&cDas Item ist kein Token.
COMMAND.SEND.DOESNOTHAVETOKEN,&cYou can not send a token you do not have.,"&cDu kannst keinen Token senden, den du nicht besitzt."
COMMAND.CONF.DESCRIPTION,Perform operations on the plugin configuration.,Bestätige die Änderungen der Plugin Konfiguration.
COMMAND.CONF.SET.DESCRIPTION,Set new value for config option.,Ändere den Wert der Option.
COMMAND.CONF.SET.LANG.DESCRIPTION,Set the default language to use.,Stelle die Standardsprache ein.
COMMAND.CONF.SET.LANG.NOTFOUND,&cThat is not a valid language option.,&cDas ist keine gültige Sprachoption
COMMAND.CONF.SET.LANG.SUCCESS,&aYou have set the server language to &6%s!,&aDu hast die Server Sprache auf &6%s eingestellt!
COMMAND.TOKEN.DESCRIPTION,Perform operations on token definitions.,Führen Sie Aktionen an Token-Definitionen aus.
COMMAND.TOKEN.CREATE.DESCRIPTION,Add a token definition for the held item and provided id to the config.,Fügen Sie eine Token-Definition für das Item und die angegebene ID zur Konfiguration hinzu.
COMMAND.TOKEN.CREATE.SUCCESS,&aToken created.,&aToken erstellt.
COMMAND.TOKEN.CREATE.FAILED,&cToken was not created.,&cToken wurde nicht erstellt.
COMMAND.TOKEN.CREATE.DUPLICATE,&cToken id already exists.,&cToken ID existiert bereits.
COMMAND.TOKEN.UPDATE.DESCRIPTION,Update a token's definition with the held item and the token's id.,Aktualisieren Sie die Definition eines Tokens mit dem gehaltenen Item und der Token ID.
COMMAND.TOKEN.UPDATE.SUCCESS,&aToken updated.,&aToken aktualisiert.
COMMAND.TOKEN.UPDATE.FAILED,&cToken was not updated.,&cToken wurde nicht aktualisiert.
