Key,English,Filipino
internal.locale,en_US,fil_PH
internal.language,English,Pilipino
internal.version,1,1
COMMAND.API.BADUSAGE,&cInvalid command usage!,&cHindi wastong pag utos!
COMMAND.API.USAGE,USAGE: %s,PAG GAMIT: %s
COMMAND.API.REQUIREMENTS.INVALIDPLAYER,&cThis command cannot be used by players.,&cAng utos na ito ay hindi maaaring gamitin ng mga manlalaro.
COMMAND.API.REQUIREMENTS.INVALIDCONSOLE,&cThis command cannot be used by the console.,&cAng utos na ito ay hindi maaaring gamitin ng console.
COMMAND.API.REQUIREMENTS.INVALIDREMOTE,&cThis command cannot be used by RCON.,&cAng utos na ito ay hindi maaaring gamitin nang RCON.
COMMAND.API.REQUIREMENTS.INVALIDBLOCK,&cThis command cannot be used by command blocks.,&cAng utos na ito ay hindi maaaring gamitin ng mga command blocks.
COMMAND.API.REQUIREMENTS.NOPERMISSION,&cYou do not have the permission required for this command: &6%s,&cWala kang pahintulot na kinakailangang para sa command na ito: &6%s
COMMAND.ROOT.DESCRIPTION,Show information about the plugin and authors.,Ipakita ang impormasyon tungkol sa plugin at ang mga may-akda.
COMMAND.ROOT.DETAILS,&7Running &6%s &cv%s&7.<br>&7Use &6%s &7to view available commands.,&7Umaandar &6%s &cv%s&7.<br>&7Gamitin &6%s &7upang tingnan ang magagamit na mga command.
COMMAND.BALANCE.DESCRIPTION,"Show wallet address, eth, enj, and token balances.","Ipakita ang address ng pitaka, ETH, ENJ, at balanse ng token."
COMMAND.BALANCE.WALLETADDRESS,&6Wallet Address: &d%s,&6Address ng Pitaka: &d%s
COMMAND.BALANCE.IDENTITYID,&6Identity ID: &d%s,&6Identity ID: &d%s
COMMAND.BALANCE.ENJBALANCE,&a[ %s ENJ ],&a[ %s ENJ ]
COMMAND.BALANCE.ETHBALANCE,&a[ %s ETH ],&a[ %s ETH ]
COMMAND.BALANCE.TOKENDISPLAY,&6%s. &5%s &a(qty. %s),&6%s. &5%s &a(qty. %s)
COMMAND.BALANCE.NOTOKENS,&l&6No tokens found in your wallet.,&l&6Walang mga token na natagpuan sa iyong pitaka.
COMMAND.BALANCE.TOKENCOUNT,&l&6Found %s tokens in your wallet.,&l&6May natagpuan %s mga token sa iyong pitaka.
COMMAND.HELP.DESCRIPTION,Show list of commands with their usage.,Ipakita ang listahan ng mga command at ang pag gamit sa kanila.
COMMAND.LINK.DESCRIPTION,Show linking code or linked address.,Ipakita ang pang-link na code o naka-link na address.
COMMAND.LINK.NULLWALLET,&cUnable to show your wallet address.,&cHindi maipakita ang address ng iyong pitaka.
COMMAND.LINK.SHOWWALLET,&aYour account is linked to the wallet address: &6%s,&aAng iyong account ay naka-link sa address ng pitaka: &6%s
COMMAND.LINK.NULLCODE,&cUnable to show your identity linking code.,&cHindi maipakita ang iyong identity linking code.
COMMAND.LINK.INSTRUCTIONS.1,&6To link your account follow the steps below:,&6Upang mai-link ang iyong account sundin ang mga hakbang:
COMMAND.LINK.INSTRUCTIONS.2,&7Download the Enjin Wallet app for Android or iOS,&7I-download ang Enjin Wallet app para sa Android o iOS
COMMAND.LINK.INSTRUCTIONS.3,&7Browse to the Linked Apps section,&7Mag-browse sa Linked Apps section.
COMMAND.LINK.INSTRUCTIONS.4,&7Click the 'LINK APP' button,&7I-click ang 'LINK APP' na pindutan.
COMMAND.LINK.INSTRUCTIONS.5,&7Select the wallet you wish to link,&7Piliin ang pitaka na nais mong mai-link
COMMAND.LINK.INSTRUCTIONS.6,&7Enter the identity linking code shown below,&7Ipasok ang identity linking code na ipinapakita
COMMAND.LINK.INSTRUCTIONS.7,&aLink Code: &6%s,&aLink Code: &6%s
COMMAND.DEVSEND.DESCRIPTION,Send a token from the developer wallet to a player.,Magpadala ng token galing sa pitaka ng developer papunta sa manlalaro.
COMMAND.DEVSEND.INVALIDAMOUNT,&cA valid amount to send must be specified.,&cBalidong halaga na gustong ipadala ay dapat itukoy.
COMMAND.DEVSEND.INVALIDTOKEN,&cA valid id for the token must be specified.,&cBalidong id ng token ay dapat itukoy.
COMMAND.SEND.DESCRIPTION,Send the held token to another player.,Ipadala ang token na hawak sa ibang manlalaro.
COMMAND.SEND.SUBMITTED,&aSend request submitted successfully. Please confirm the request in your wallet app.,&aMatagumpay na isunumite ang request. Mangyaring kumpirmahin ang request sa iyong pitaka.
COMMAND.SEND.MUSTHOLDITEM,&cYou must hold the tokenized item you wish to send.,&cKailangan hawak ang tokenized item na nais mong ipadala
COMMAND.SEND.ITEMNOTTOKEN,&cThe held item is not associated with a token.,&cAng hawak na item ay hindi nauugnay sa token. 
COMMAND.SEND.DOESNOTHAVETOKEN,&cYou can not send a token you do not have.,&cHindi pwede ipadala ang token na hindi mo hawak.
COMMAND.CONF.DESCRIPTION,Perform operations on the plugin configuration.,Magsagawa ng mga operasyon sa plugin configuration.
COMMAND.CONF.SET.DESCRIPTION,Set new value for config option.,Itakda ang bagong numero para sa config option.
COMMAND.CONF.SET.LANG.DESCRIPTION,Set the default language to use.,Itakda ang wika na gagamitin.
COMMAND.CONF.SET.LANG.NOTFOUND,&cThat is not a valid language option.,&cIyon ay wika na hindi pwedeng piliin.
COMMAND.CONF.SET.LANG.SUCCESS,&aYou have set the server language to &6%s!,&aItinakda mo ang wika ng server sa &6%s!
COMMAND.TOKEN.DESCRIPTION,Perform operations on token definitions.,Magsagawa ng mga operasyon sa mga token definitions.
COMMAND.TOKEN.CREATE.DESCRIPTION,Add a token definition for the held item and provided id to the config.,Gumawa ng token definition para sa hawak na item at itinakdang id sa config.
COMMAND.TOKEN.CREATE.SUCCESS,&aToken created.,&aToken ay nilikha.
COMMAND.TOKEN.CREATE.FAILED,&cToken was not created.,&cToken ay hindi nalikha
COMMAND.TOKEN.CREATE.DUPLICATE,&cToken id already exists.,&cMayroon nang Token id
COMMAND.TOKEN.UPDATE.DESCRIPTION,Update a token's definition with the held item and the token's id.,I-update ang definition ng token gamit ang hawak na item at id ng token.
COMMAND.TOKEN.UPDATE.SUCCESS,&aToken updated.,&aAng token ay na-update
COMMAND.TOKEN.UPDATE.FAILED,&cToken was not updated.,&cAng token ay hindi na-update
