Key,English,Japanese
internal.locale,en_US,ja_JP
internal.language,English,日本語
internal.version,1,1
COMMAND.API.BADUSAGE,&cInvalid command usage!,&cこのコマンドは無効です。
COMMAND.API.USAGE,USAGE: %s,USAGE: %s
COMMAND.API.REQUIREMENTS.INVALIDPLAYER,&cThis command cannot be used by players.,&cplayerは、このコマンドを使用できません。
COMMAND.API.REQUIREMENTS.INVALIDCONSOLE,&cThis command cannot be used by the console.,&cコンソールは、このコマンドを使用できません。
COMMAND.API.REQUIREMENTS.INVALIDREMOTE,&cThis command cannot be used by RCON.,&cRCONは、このコマンドを使用できません。
COMMAND.API.REQUIREMENTS.INVALIDBLOCK,&cThis command cannot be used by command blocks.,&cコマンドブロックは、このコマンドを使用できません。
COMMAND.API.REQUIREMENTS.NOPERMISSION,&cYou do not have the permission required for this command: &6%s,&cこのコマンドへのアクセス権がありません: &6%s
COMMAND.ROOT.DESCRIPTION,Show information about the plugin and authors.,プラグインと著作者の情報を表示する。
COMMAND.ROOT.DETAILS,&7Running &6%s &cv%s&7.<br>&7Use &6%s &7to view available commands.,&7&6%s &cv%s&7が実行中。<br>&7 &6%s &7を実行して、利用可能なコマンドを見る。
COMMAND.BALANCE.DESCRIPTION,"Show wallet address, eth, enj, and token balances.",Wallet Address、ETH・ENJ・その他tokenの残高を表示。
COMMAND.BALANCE.WALLETADDRESS,&6Wallet Address: &d%s,&6Wallet Address: &d%s
COMMAND.BALANCE.IDENTITYID,&6Identity ID: &d%s,&6Identity ID: &d%s
COMMAND.BALANCE.ENJBALANCE,&a[ %s ENJ ],&a[ %s ENJ ]
COMMAND.BALANCE.ETHBALANCE,&a[ %s ETH ],&a[ %s ETH ]
COMMAND.BALANCE.TOKENDISPLAY,&6%s. &5%s &a(qty. %s),&6%s. &5%s &a(qty. %s)
COMMAND.BALANCE.NOTOKENS,&l&6No tokens found in your wallet.,&l&6Walletにtokenがありません。
COMMAND.BALANCE.TOKENCOUNT,&l&6Found %s tokens in your wallet.,&l&6Walletに、%s tokensがあります。
COMMAND.HELP.DESCRIPTION,Show list of commands with their usage.,コマンドとその使用方法を表示。
COMMAND.LINK.DESCRIPTION,Show linking code or linked address.,Linking codeまたはlinked addressを表示。
COMMAND.LINK.NULLWALLET,&cUnable to show your wallet address.,&cWallet Addressを表示できません。
COMMAND.LINK.SHOWWALLET,&aYour account is linked to the wallet address: &6%s,&aあなたのaccountは、&6%sのWallet Addressにリンクしています。
COMMAND.LINK.NULLCODE,&cUnable to show your identity linking code.,&cidentity linking codeを取得できません。
COMMAND.LINK.INSTRUCTIONS.1,&6To link your account follow the steps below:,&6以下の手順で、accountへリンクさせてください。
COMMAND.LINK.INSTRUCTIONS.2,&7Download the Enjin Wallet app for Android or iOS,&7AndroidまたはiOSの、Enjin Walletアプリをダウンロードしてください。
COMMAND.LINK.INSTRUCTIONS.3,&7Browse to the Linked Apps section,&7「リンクされたアプリ」画面を表示。
COMMAND.LINK.INSTRUCTIONS.4,&7Click the 'LINK APP' button,&7「LINK APP」のボタンをクリック。
COMMAND.LINK.INSTRUCTIONS.5,&7Select the wallet you wish to link,&7リンクさせたいWalletを選択。
COMMAND.LINK.INSTRUCTIONS.6,&7Enter the identity linking code shown below,&7以下のIdentity Linking Codeを入力。
COMMAND.LINK.INSTRUCTIONS.7,&aLink Code: &6%s,&aLink Code: &6%s。
COMMAND.DEVSEND.DESCRIPTION,Send a token from the developer wallet to a player.,開発者のWalletからplayerへ、tokenを送信。
COMMAND.DEVSEND.INVALIDAMOUNT,&cA valid amount to send must be specified.,&cA 正しいamountを入力してください。
COMMAND.DEVSEND.INVALIDTOKEN,&cA valid id for the token must be specified.,&cA 正しいtokenのidを入力してください。
COMMAND.SEND.DESCRIPTION,Send the held token to another player.,所持しているtokenを、他のplayerに送る。
COMMAND.SEND.SUBMITTED,&aSend request submitted successfully. Please confirm the request in your wallet app.,&aSend requestは正しく送信されました。Walletアプリから、リクエストを承認してください。
COMMAND.SEND.MUSTHOLDITEM,&cYou must hold the tokenized item you wish to send.,&cトークン化されたitemを送るには、そのitemを所持している必要があります。
COMMAND.SEND.ITEMNOTTOKEN,&cThe held item is not associated with a token.,&cそのitemは、tokenと連携していません。
COMMAND.SEND.DOESNOTHAVETOKEN,&cYou can not send a token you do not have.,&c所持していないtokenは、送信できません。
COMMAND.CONF.DESCRIPTION,Perform operations on the plugin configuration.,プラグインの操作を行う。
COMMAND.CONF.SET.DESCRIPTION,Set new value for config option.,config optionの新しい値を設定。
COMMAND.CONF.SET.LANG.DESCRIPTION,Set the default language to use.,デフォルト言語を設定。
COMMAND.CONF.SET.LANG.NOTFOUND,&cThat is not a valid language option.,&cこれは正しい言語オプションではありません。
COMMAND.CONF.SET.LANG.SUCCESS,&aYou have set the server language to &6%s!,&aサーバーの言語を、&6%sに設定しました!
COMMAND.TOKEN.DESCRIPTION,Perform operations on token definitions.,token definitionの操作を行う。
COMMAND.TOKEN.CREATE.DESCRIPTION,Add a token definition for the held item and provided id to the config.,token definitionをitemへ追加し、そのIDをconfigへ送る。
COMMAND.TOKEN.CREATE.SUCCESS,&aToken created.,&aTokenが作成されました。
COMMAND.TOKEN.CREATE.FAILED,&cToken was not created.,&cTokenが作成されませんでした。
COMMAND.TOKEN.CREATE.DUPLICATE,&cToken id already exists.,&cToken idは既に存在しています。
COMMAND.TOKEN.UPDATE.DESCRIPTION,Update a token's definition with the held item and the token's id.,token definitionを、所持しているitemとtoken idで更新。
COMMAND.TOKEN.UPDATE.SUCCESS,&aToken updated.,&aTokenは更新されました。
COMMAND.TOKEN.UPDATE.FAILED,&cToken was not updated.,&cTokenは更新されませんでした。
COMMAND.TOKEN.TOINV.DESCRIPTION,Add a non-tokenized copy of the token to your inventory.,トークン化されていないitemを、inventoryへ追加。
COMMAND.TOKEN.TOINV.SUCCESS,&aThe item was added to your inventory.,&aitemがinventoryへ追加されました。
