Key,English,Korean
internal.locale,en_US,ko_KR
internal.language,English,한국어
internal.version,1,1
COMMAND.API.BADUSAGE,&cInvalid command usage!,&c유효하지 않은 명령어 사용입니다!
COMMAND.API.USAGE,USAGE: %s,USAGE: %s
COMMAND.API.REQUIREMENTS.INVALIDPLAYER,&cThis command cannot be used by players.,&c이 명령어는 게임 유저들이 사용할 수 없습니다.
COMMAND.API.REQUIREMENTS.INVALIDCONSOLE,&cThis command cannot be used by the console.,&c이 명령어를 콘솔에서 사용할 수 없습니다.
COMMAND.API.REQUIREMENTS.INVALIDREMOTE,&cThis command cannot be used by RCON.,&c이 명령어는 원격으로 사용할 수 없습니다.
COMMAND.API.REQUIREMENTS.INVALIDBLOCK,&cThis command cannot be used by command blocks.,&c이 명령어는 명령어 블록으로 사용할 수 없습니다.
COMMAND.API.REQUIREMENTS.NOPERMISSION,&cYou do not have the permission required for this command: &6%s,&c이 명령어에 필요한 권한이 없습니다: &6%s
COMMAND.ROOT.DESCRIPTION,Show information about the plugin and authors.,플러그인과 저자 관련 내용 보기.
COMMAND.ROOT.DETAILS,&7Running &6%s &cv%s&7.<br>&7Use &6%s &7to view available commands.,&7러닝 &6%s &cv%s&7.<br>&6%s &7을 &7사용하여 가능한 명령어 보기.
COMMAND.BALANCE.DESCRIPTION,"Show wallet address, eth, enj, and token balances.","지갑 주소, 이더리움, 엔진, 및 토큰 잔액 보기."
COMMAND.BALANCE.WALLETADDRESS,&6Wallet Address: &d%s,&6지갑 주소: &d%s
COMMAND.BALANCE.IDENTITYID,&6Identity ID: &d%s,&6아이덴티티 ID: &d%s
COMMAND.BALANCE.ENJBALANCE,&a[ %s ENJ ],&a[ %s ENJ ]
COMMAND.BALANCE.ETHBALANCE,&a[ %s ETH ],&a[ %s ETH ]
COMMAND.BALANCE.TOKENDISPLAY,&6%s. &5%s &a(qty. %s),&6%s. &5%s &a(qty. %s)
COMMAND.BALANCE.NOTOKENS,&l&6No tokens found in your wallet.,&l&6지갑에 토큰이 없습니다.
COMMAND.BALANCE.TOKENCOUNT,&l&6Found %s tokens in your wallet.,&l&6지갑에 %s 토큰이 있습니다.
COMMAND.HELP.DESCRIPTION,Show list of commands with their usage.,사용량을 포함한 명령어 목록 보기.
COMMAND.LINK.DESCRIPTION,Show linking code or linked address.,링크 코드나 링크된 주소 보기.
COMMAND.LINK.NULLWALLET,&cUnable to show your wallet address.,&c지갑 주소를 볼 수 없습니다.
COMMAND.LINK.SHOWWALLET,&aYour account is linked to the wallet address: &6%s,&a계정은 지갑 주소와 연동되었습니다: &6%s
COMMAND.LINK.NULLCODE,&cUnable to show your identity linking code.,&c아이덴티티 링크 코드를 볼 수 없습니다.
COMMAND.LINK.INSTRUCTIONS.1,&6To link your account follow the steps below:,&6계정 연동을 하기 위해 다음 단계를 완성하면 됩니다:
COMMAND.LINK.INSTRUCTIONS.2,&7Download the Enjin Wallet app for Android or iOS,&7안드로이드나 iOS용 엔진 지갑 앱을 다운로드 하세요
COMMAND.LINK.INSTRUCTIONS.3,&7Browse to the Linked Apps section,&7링크 앱 (Linked Apps) 섹션으로 가세요
COMMAND.LINK.INSTRUCTIONS.4,&7Click the 'LINK APP' button,&7’LINK APP’ 버튼을 클릭하세요
COMMAND.LINK.INSTRUCTIONS.5,&7Select the wallet you wish to link,&7연동하고 싶은 지갑을 선택하세요
