Key,English,Portuguese
internal.locale,en_US,pt_BR
internal.language,English,Português
internal.version,1,1
COMMAND.API.BADUSAGE,&cInvalid command usage!,&cUtilização de comando inválido!
COMMAND.API.USAGE,USAGE: %s,Utilização: %s
COMMAND.API.REQUIREMENTS.INVALIDPLAYER,&cThis command cannot be used by players.,&cEste comando não pode ser utilizado por jogadores.
COMMAND.API.REQUIREMENTS.INVALIDCONSOLE,&cThis command cannot be used by the console.,&cEste comando não pode ser utilizado pelo console.
COMMAND.API.REQUIREMENTS.INVALIDREMOTE,&cThis command cannot be used by RCON.,&cEste comando não pode ser utilizado remotamente.
COMMAND.API.REQUIREMENTS.INVALIDBLOCK,&cThis command cannot be used by command blocks.,&cEste comando não pode ser utilizado pelo bloco de comandos.
COMMAND.API.REQUIREMENTS.NOPERMISSION,&cYou do not have the permission required for this command: &6%s,&cVocê não tem as permissões necessárias para executar este comando: &6%s
COMMAND.ROOT.DESCRIPTION,Show information about the plugin and authors.,Exibir informações sobre o plugin e seus autores.
COMMAND.ROOT.DETAILS,&7Running &6%s &cv%s&7.<br>&7Use &6%s &7to view available commands.,&7Executando &6%s &cv%s&7.<br>&7Utilize &6%s &7para ver comandos disponíveis.
COMMAND.BALANCE.DESCRIPTION,"Show wallet address, eth, enj, and token balances.","Exibir endereço da carteira, ETH, ENJ e saldo de tokens."
COMMAND.BALANCE.WALLETADDRESS,&6Wallet Address: &d%s,&6Endereço da carteira: &d%s
COMMAND.BALANCE.IDENTITYID,&6Identity ID: &d%s,&6ID da Identidade: &d%s
COMMAND.BALANCE.ENJBALANCE,&a[ %s ENJ ],&a[ %s ENJ ]
COMMAND.BALANCE.ETHBALANCE,&a[ %s ETH ],&a[ %s ETH ]
COMMAND.BALANCE.TOKENDISPLAY,&6%s. &5%s &a(qty. %s),&6%s. &5%s &a(qty. %s)
COMMAND.BALANCE.NOTOKENS,&l&6No tokens found in your wallet.,&l&6Nenhum token encontrado em sua carteira.
COMMAND.BALANCE.TOKENCOUNT,&l&6Found %s tokens in your wallet.,&l&6Encontrados %s tokens em sua carteira.
COMMAND.HELP.DESCRIPTION,Show list of commands with their usage.,Exibir lista de comandos e sua utilização.
COMMAND.LINK.DESCRIPTION,Show linking code or linked address.,Exibir código de vinculação ou endereço vinculado.
COMMAND.LINK.NULLWALLET,&cUnable to show your wallet address.,&cNão foi possível exibir o endereço da sua carteira.
