Key,English,Romanian
internal.locale,en_US,ro_RO
internal.language,English,Română
internal.version,1,1
COMMAND.API.BADUSAGE,&cInvalid command usage!,&cUtilizare invalidă a comenzii!
COMMAND.API.USAGE,USAGE: %s,UTILIZARE: %s
COMMAND.API.REQUIREMENTS.INVALIDPLAYER,&cThis command cannot be used by players.,&cAceastă comandă nu poate fi utilizată de către jucători.
COMMAND.API.REQUIREMENTS.INVALIDCONSOLE,&cThis command cannot be used by the console.,&Această comandă nu poate fi utilizată în consolă.
COMMAND.API.REQUIREMENTS.INVALIDREMOTE,&cThis command cannot be used by RCON.,&cAceastă comandă nu poate fi utilizată prin RCON.
COMMAND.API.REQUIREMENTS.INVALIDBLOCK,&cThis command cannot be used by command blocks.,&cAceastă comandă nu poate fi utilizată în blocuri de comandă.
COMMAND.API.REQUIREMENTS.NOPERMISSION,&cYou do not have the permission required for this command: &6%s,&cNu aveți permisiunea necesară pentru această comandă: &6%s
COMMAND.ROOT.DESCRIPTION,Show information about the plugin and authors.,Afișează informații despre plugin și autori.
COMMAND.ROOT.DETAILS,&7Running &6%s &cv%s&7.<br>&7Use &6%s &7to view available commands.,&7Rulare &6%s &cv%s&7.<br>&7Folosiți &6%s &7pentru vizualizarea comenzilor disponibile.
COMMAND.BALANCE.DESCRIPTION,"Show wallet address, eth, enj, and token balances.","Afișează adresa portofelului și soldul ETH, ENJ și al tokenilor."
COMMAND.BALANCE.WALLETADDRESS,&6Wallet Address: &d%s,&6Adresa Portofelului: &d%s
COMMAND.BALANCE.IDENTITYID,&6Identity ID: &d%s,&6ID de Identitate: &d%s
COMMAND.BALANCE.ENJBALANCE,&a[ %s ENJ ],&a[ %s ENJ ]
COMMAND.BALANCE.ETHBALANCE,&a[ %s ETH ],&a[ %s ETH ]
COMMAND.BALANCE.TOKENDISPLAY,&6%s. &5%s &a(qty. %s),&6%s. &5%s &a(qty. %s)
COMMAND.BALANCE.NOTOKENS,&l&6No tokens found in your wallet.,&l&6Niciun token nu a fost găsit în portofel.
COMMAND.BALANCE.TOKENCOUNT,&l&6Found %s tokens in your wallet.,&l&6S-au găsit %s tokenuri în portofel.
COMMAND.HELP.DESCRIPTION,Show list of commands with their usage.,Afișează lista comenzilor împreună cu utilizarea lor.
COMMAND.LINK.DESCRIPTION,Show linking code or linked address.,Afișează codul de legătură sau adresa legată.
COMMAND.LINK.NULLWALLET,&cUnable to show your wallet address.,&cNu s-a putut afișa adresa portofelului dvs.
COMMAND.LINK.SHOWWALLET,&aYour account is linked to the wallet address: &6%s,&aContul dvs. este legat de adresa: &6%s
